Reference,Qty,Value,DNP,Exclude from BOM,Footprint,Datasheet,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,Spec,Description
"C1,C2",2,T521D336M035ATE065,,,DW_Passives:[C] Kemet Tantalum Polymer T521X,https://www.mouser.com/datasheet/2/447/KEM_T2076_T52X_530-3317002.pdf,4.3,KEMET,T521D336M035ATE065,80-T521D336M35ATE65,https://www.mouser.com/ProductDetail/KEMET/T521D336M035ATE065?qs=1gHfTFoodzaHxXmfIl2UDw%3D%3D,33u 35V,Input Filter Cap Tant Poly
"C3,C4",2,GRJ32ER71H106KE11K,,,Capacitor_SMD:C_1210_3225Metric,https://www.mouser.com/datasheet/2/281/1/GRJ32ER71H106KE11_02A-3155002.pdf,2.8,Murata,GRJ32ER71H106KE11K,81-GRJ32ER71H106KE1K,https://www.mouser.com/ProductDetail/Murata-Electronics/GRJ32ER71H106KE11K?qs=lEfY3O89Aqkc0aIiWmlJZw%3D%3D,10u 50V,Input Capacitor
"C5,C6",2,GCM155R71H223KA55D,,,Capacitor_SMD:C_0402_1005Metric,https://www.mouser.com/datasheet/2/281/1/GCM155R71H223KA55_01A-3142318.pdf,0.55,Murata,GCM155R71H223KA55D,81-GCM155R71H223KA5D,https://www.mouser.com/ProductDetail/Murata-Electronics/GCM155R71H223KA55D?qs=aEuGZpxfbxWRPp0xzcGE2w%3D%3D,22n 50V,Input Capacitor
"C7,C13,C14,C15,C16,C36",6,GCM188R71C105KA64J,,,Capacitor_SMD:C_0603_1608Metric,https://www.mouser.com/datasheet/2/281/1/GCM188R71C105KA64_04A-3143889.pdf,0.9,Murata,GCM188R71C105KA64J,81-GCM188R71C105KA4J,https://www.mouser.com/ProductDetail/Murata-Electronics/GCM188R71C105KA64J?qs=4%252BGqC78dy0BN5WaW5TLgXw%3D%3D,1u 16V,Vcc Capacitor
"C8,C9,C17,C18,C19,C20,C22,C23,C24,C25,C26,C27,C28,C37,C38,C39,C42,C43,C45,C47,C48,C49,C50,C51,C52",25,GCM155R71C104KA55D,,,Capacitor_SMD:C_0402_1005Metric,https://www.mouser.com/datasheet/2/281/1/GCM155R71C104KA55_01A-3142292.pdf,0.55,Murata,GCM155R71C104KA55D,81-GCM155R71C104KA5D,https://www.mouser.com/ProductDetail/Murata-Electronics/GCM155R71C104KA55D?qs=aEuGZpxfbxVTPYRtXT4ecg%3D%3D,100n 16V,Cboot Capacitor
"C10,C11",2,GCM32ER71C226ME19L,,,Capacitor_SMD:C_1210_3225Metric,https://www.mouser.com/datasheet/2/281/1/GCM32ER71C226ME19_01A-3146418.pdf,2.7,Murata,GCM32ER71C226ME19L,81-GCM32ER71C226ME9L,https://www.mouser.com/ProductDetail/Murata-Electronics/GCM32ER71C226ME19L?qs=xcCo%252BfWZmQV9Fn%252BqPRQQCg%3D%3D,22u 16V,Output Capacitor
C12,1,GRM0225C1C100FA03L,,,Capacitor_SMD:C_0402_1005Metric,https://www.mouser.com/datasheet/2/281/GRM0225C1C100FA03_01A-1978859.pdf,0.25,Murata,GRM0225C1C100FA03L,81-GRM0225C1C100FA03,https://www.mouser.com/ProductDetail/Murata-Electronics/GRM0225C1C100FA03L?qs=rrS6PyfT74dMR%2FKublCCEA%3D%3D,10p 16V C0G,Cff Capacitor
"C21,C29",2,GCM21BR70J106KE22K,,,Capacitor_SMD:C_0805_2012Metric,https://www.mouser.com/datasheet/2/281/1/GCM21BR70J106KE22_01A-3145361.pdf,1.4,Murata,GCM21BR70J106KE22K,81-GCM21BR70J106KE2K,https://www.mouser.com/ProductDetail/Murata-Electronics/GCM21BR70J106KE22K?qs=sGAEpiMZZMvsSlwiRhF8qrsEDC3kTDCyMHGrVVZJ%2F44%3D,10u 6V3,3V3 Bus Capacitor
"C30,C33,C35",3,GCM155R71H104KE02J,,,Capacitor_SMD:C_0402_1005Metric,https://www.mouser.com/datasheet/2/281/1/GCM155R71H104KE02_01A-3142168.pdf,0.55,Murata,GCM155R71H104KE02J,81-GCM155R71H104KE2J,https://www.mouser.com/ProductDetail/Murata-Electronics/GCM155R71C104KA55D?qs=aEuGZpxfbxVTPYRtXT4ecg%3D%3D,100n 50V,USB Shield EMI Cap
"C31,C32,C34",3,GCM155R71H102KA37D,,,Capacitor_SMD:C_0402_1005Metric,https://www.mouser.com/datasheet/2/281/1/GCM155R71H102KA37_01A-3142409.pdf,0.55,Murata,GCM155R71H102KA37D,81-GCM155R71H102KA7D,https://www.mouser.com/ProductDetail/Murata-Electronics/GCM155R71H102KA37D?qs=sGAEpiMZZMvsSlwiRhF8qh1EJ90GfnwbTXYmk%2FR9SuY%3D,1n 50V,USB Shield EMI Cap
"C40,C41,C44,C46",4,TCJB157M006R0070,,,DW_Passives:[C] Kyocera AVC Tant Poly TCJB157M006R0070,https://www.mouser.com/datasheet/2/40/TCJ-2887130.pdf,2.1,Kyocera AVX,TCJB157M006R0070,581-TCJB157M006R0070,https://www.mouser.com/ProductDetail/KYOCERA-AVX/TCJB157M006R0070?qs=sGAEpiMZZMtZ1n0r9vR22Vo76tYnmDT9Xj8e1bjhAMU%3D,150u 6V3,"AVX 150uF SMD Solid Polymer Tantalum Electrolytic Capacitor, 6.3 V dc +/-20%, TCJ Series"
D1,1,"PDZ10B,115",,,"DW_Semiconductors:[D] Nexperia Zener PDZ10B,115 10V",https://www.mouser.com/datasheet/2/916/PDZ_B_SER-1548405.pdf,1.1,Nexperia,"PDZ10B,115",771-PDZ10B115,https://www.mouser.com/ProductDetail/Nexperia/PDZ10B115?qs=LOCUfHb8d9t6BsAtogB8tA%3D%3D,10V 2% 400mW,Rev Power Prot Diode
D2,1,150040GS73220,,,DW_Optoelectronics:[D] Wurth Elektronik 150040GS73220,https://www.we-online.com/components/products/datasheet/150040GS73220.pdf,0.35,Wurth Elektronik,150040GS73220,710-150040GS73220,https://www.mouser.com/ProductDetail/Wurth-Elektronik/150040GS73220?qs=u16ybLDytRZ9vktXLUK1Kg%3D%3D,0603 525nm,Input Power LED
D3,1,SMF24CA,,,DW_CircuitProtection:[D] Littelfuse SMF24CA 24V 200W,https://www.mouser.com/datasheet/2/240/media-3321418.pdf,1.08,Littelfuse,SMF24CA,576-SMF24CA,https://www.mouser.com/ProductDetail/Littelfuse/SMF24CA?qs=d0WKAl%252BL4KZ7Y3Ls3uQ%252BqA%3D%3D,TVS BiDir 24V 200W,Input TVS Surge Suppression
D4,1,150040RS73240,,,DW_Optoelectronics:[D] Wurth Elektronik 150040RS73240,https://katalog.we-online.de/pbs/datasheet/150040RS73240.pdf,0.5,Wurth Elektronik,150040RS73240,710-150040RS73240,https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150040RS73240?qs=8Aam6%252B7C6HGMiInmnlrBiw%3D%3D,0402 630nm,Fault LED
F1,1,1812L110/33MR,,,DW_CircuitProtection:[F] Littelfuse PPTC 1812L010DR,https://www.littelfuse.com/assetdocs/resettable-ptcs-1812l-datasheet?assetguid=ca5c80cb-504e-4a8a-8e74-0107520a1717,1.25,LITTELFUSE,1812L110/33MR,576-1812L110/33MR,https://www.mouser.com/ProductDetail/Littelfuse/1812L110-33MR?qs=PWhpLWeW8wdL8%252Bas2HFkoA%3D%3D,1.1A 33V,Input PPTC Resettable Fuse
"FB1,FB2",2,BLM15PX221SZ1D,,,DW_Passives:[FB] Murata BLM15PX221SZ1D,https://www.mouser.com/datasheet/2/281/QNFA9118-1915745.pdf,0.55,Murata Electronics,BLM15PX221SZ1D,81-BLM15PX221SZ1D,https://www.mouser.com/ProductDetail/Murata-Electronics/BLM15PX221SZ1D?qs=sGAEpiMZZMt1hubY80%2Fs8I8WoiTpYN3QSdoffXbNwtEEajTLimU9MQ%3D%3D,220 ohm 100MHz,BLM15_Z1D Series EMI Suppression Filter 220+/-25% at 100MHz 1.4A @85
"FB3,FB4,FB5,FB6",4,BLM18KG221SN1D,,,DW_Passives:[FB] Murata BLM18KG221SN1D 220ohm 2.2A,https://www.mouser.com/datasheet/2/281/ENFA0003-1915778.pdf,0.55,Murata Electronics,BLM18KG221SN1D,81-BLM18KG221SN1D,https://www.mouser.com/ProductDetail/Murata-Electronics/BLM18KG221SN1D?qs=sGAEpiMZZMt1hubY80%2Fs8NG1wYLooWOYKm5VhW8T2xQ%3D,220ohm 2.2A,BLM18 Series EMI Suppression Filter 220+/-25% at 100MHz 2.2A @85
"FID1,FID2,FID3",3,Fiducial_1mm_Mask3mm,,Excluded from BOM,Fiducial:Fiducial_1mm_Mask2mm,~,,,,,,,Fiducial Marker
G1,1,OSHW_Logo,,Excluded from BOM,DW_Mechanical:OSHW_Logo,,,,,,,,Open Source Hardware Logo 8 mm
"H1,H4",2,MountingHole,,Excluded from BOM,DW_Mechanical:[MH] MountingHole_2.7mm_M2.5_Pad_StencilRegHole,~,,,,,,,Mounting Hole without connection
"H2,H3",2,MountingHole,,Excluded from BOM,DW_Mechanical:[MH] MountingHole_2.7mm_M2.5_Pad,~,,,,,,,Mounting Hole without connection
J1,1,S2B-XH-A-1,,,DW_Connectors:[J] JST S2B-XH-A-1,https://www.jst-mfg.com/product/pdf/eng/eXH.pdf,7 mm,JST,S2B-XH-A-1,306-S2BXHA1LFSN,https://www.mouser.com/ProductDetail/JST-Commercial/S2B-XH-A-1LFSN?qs=QpmGXVUTftHhNeC%252BPQWeTw%3D%3D,JST-XH-2 Side,Input Power Connector
J2,1,B2B-XH-A(LF)(SN),,,DW_Connectors:JST_B2B-XH-A(LF)(SN),https://www.jst-mfg.com/product/pdf/eng/eXH.pdf,7 mm,JST,B2B-XH-A(LF)(SN),306-B2BXHALFSNP,https://www.mouser.com/ProductDetail/JST-Commercial/B2B-XH-ALFSN?qs=cdbOS8ANM9DdcSn9qRmfCw%3D%3D,JST-XH-2,Connector Header Through Hole 2 position 0.098 (2.50mm)
J3,1,ESW-120-33-G-D,,,DW_Connectors:[J] Samtec Elevated Socket Strip ESW-120-33-G-D,https://www.mouser.com/datasheet/2/527/esw_th-2854089.pdf,16.13,Samtec,ESW-120-33-G-D,200-ESW12033GD,https://www.mouser.com/ProductDetail/Samtec/ESW-120-33-G-D?qs=0lQeLiL1qybGjRGIrteP4Q%3D%3D,"20x2 0.1"" Header",Elevated Socket Strip 0.1in 20x2 16.13mmH Gold
J4,1,USB1030-GF-P-B-B,,,DW_Connectors:[J] GCT USB-B 2.0 Connector PCB USB1030-GF-P-B-B,https://www.mouser.com/datasheet/2/837/USB1030-1948845.pdf,10.95,GCT,USB1030-GF-P-B-B,640-USB1030-GF-P-B-B,https://www.mouser.com/ProductDetail/GCT/USB1030-GF-P-B-B?qs=KUoIvG%2F9Ila4yhPpaOZhHA%3D%3D,"USB Connectors USB B Skt, TH, GF, USB-B 2.0","USB Connectors USB B Skt, TH, GF, USB-B 2.0"
"J5,J6",2,USB1035-GF-P-0-B-B,,,DW_Connectors:[J] GCT USB-A x2 2.0 Connector USB1035-GF-P-0-B-B,https://www.mouser.com/datasheet/2/837/USB1035-1948815.pdf,15.32,GCT,USB1035-GF-P-0-B-B,640-USB1035GFP0BB,https://www.mouser.com/ProductDetail/GCT/USB1035-GF-P-0-B-B?qs=KUoIvG%2F9IlZdvtWwZEQX0g%3D%3D,"USB Connectors USB A Skt, TH, GF, USB-A 2.0","USB-A (USB TYPE-A), Stacked USB 2.0 Receptacle Connector 8 Position Through Hole, Right Angle"
