pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
10.5,20.0,180.0,top,C1,T521D336M035ATE065,,[C] Kemet Tantalum Polymer T521X,T521D336M035ATE065,smt
20.5,19.5,-90.0,top,C10,GCM32ER71C226ME19L,,C_1210_3225Metric,GCM32ER71C226ME19L,smt
29.0,19.5,-90.0,top,C11,GCM32ER71C226ME19L,,C_1210_3225Metric,GCM32ER71C226ME19L,smt
26.75,10.25,-90.0,top,C12,VJ0402A100GXJCW1BC,,C_0402_1005Metric,VJ0402A100GXJCW1BC,smt
33.25,21.900006,-90.0,top,C13,GCM188R71C105KA64J,,C_0603_1608Metric,GCM188R71C105KA64J,smt
36.819996,21.900006,-90.0,top,C14,GCM188R71C105KA64J,,C_0603_1608Metric,GCM188R71C105KA64J,smt
33.284998,15.825005,-90.0,top,C15,GCM188R71C105KA64J,,C_0603_1608Metric,GCM188R71C105KA64J,smt
36.715002,15.825003,-90.0,top,C16,GCM188R71C105KA64J,,C_0603_1608Metric,GCM188R71C105KA64J,smt
40.0,32.9,-135.0,top,C17,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
42.1,30.8,-135.0,top,C18,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
52.8,29.7,-45.0,top,C19,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
17.5,7.0,-90.0,top,C2,T521D336M035ATE065,,[C] Kemet Tantalum Polymer T521X,T521D336M035ATE065,smt
55.6,32.6,-45.0,top,C20,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
37.3,35.4,0.0,top,C21,GCM21BR70J106KE22K,,C_0805_2012Metric,GCM21BR70J106KE22K,smt
55.3,41.8,45.0,top,C22,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
52.8,44.2,45.0,top,C23,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
51.7,45.3,45.0,top,C24,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
45.5,46.3,45.0,top,C25,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
39.9,31.5,-135.0,top,C26,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
43.5,27.9,-135.0,top,C27,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
57.5,32.85,-45.0,top,C28,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
35.45,37.95,0.0,top,C29,GCM21BR70J106KE22K,,C_0805_2012Metric,GCM21BR70J106KE22K,smt
19.0,14.75,90.0,top,C3,GRJ32ER71H106KE11K,,C_1210_3225Metric,GRJ32ER71H106KE11K,smt
70.2,15.8,0.0,top,C30,GCM155R71H104KE02J,,C_0402_1005Metric,GCM155R71H104KE02J,smt
